Sistema,Idade_Anos,Tipo_Solo,Profundidade_cm,Ph,MO_g_dm3,P_Disponivel_mg_dm3,P_Total_g_kg,Carbono_Total_g_kg,Densidade_Solo_g_cm3,Produtividade_Cacau_sc_ha,Cobertura_Arborea_%
Monocultivo_Cacau,10,Neossolo,0-20,5.7,23.9,26.8,0.98,13.8,1.41,32.5,16
Monocultivo_Cacau,10,Neossolo,20-40,5.5,19.8,18.5,0.76,11.4,1.52,32.5,16
SAF_Cacau_Jacaranda,20,Argissolo,0-20,6.9,52.8,38.9,1.42,30.6,1.08,45.8,95
SAF_Cacau_Jacaranda,20,Argissolo,20-40,6.7,44.3,27.5,1.18,25.5,1.22,45.8,95
Monocultivo_Cacau,20,Argissolo,0-20,6.3,32.5,42.8,1.55,18.8,1.35,48.9,25
Monocultivo_Cacau,20,Argissolo,20-40,6.1,27.8,29.6,1.25,15.9,1.46,48.9,25
SAF_Cacau_Inga,25,Latossolo,0-20,7.1,58.3,45.2,1.65,33.8,1.05,52.3,98
SAF_Cacau_Inga,25,Latossolo,20-40,6.9,48.9,32.8,1.35,28.2,1.18,52.3,98
Monocultivo_Cacau,25,Latossolo,0-20,6.5,36.8,48.9,1.78,21.3,1.30,55.8,28
Monocultivo_Cacau,25,Latossolo,20-40,6.3,31.2,34.5,1.42,17.9,1.41,55.8,28
SAF_Cacau_Eucalipto,18,Neossolo,0-20,6.4,45.2,28.7,1.05,26.1,1.18,35.6,75
SAF_Cacau_Eucalipto,18,Neossolo,20-40,6.2,37.8,20.3,0.88,21.8,1.30,35.6,75
Monocultivo_Cacau,18,Neossolo,0-20,6.0,28.9,32.5,1.18,16.7,1.38,39.8,20
Monocultivo_Cacau,18,Neossolo,20-40,5.8,24.3,23.8,0.95,14.0,1.49,39.8,20
SAF_Cacau_Jacaranda,7,Argissolo,0-20,6.0,32.8,15.8,0.58,18.9,1.22,22.8,72
SAF_Cacau_Jacaranda,7,Argissolo,20-40,5.8,26.5,10.9,0.45,15.3,1.35,22.8,72
Monocultivo_Cacau,7,Argissolo,0-20,5.4,20.9,18.9,0.68,12.1,1.40,26.5,17
Monocultivo_Cacau,7,Argissolo,20-40,5.3,17.6,13.2,0.52,10.2,1.50,26.5,17
SAF_Cacau_Inga,30,Latossolo,0-20,7.2,62.5,52.8,1.92,36.2,1.02,58.9,99
SAF_Cacau_Inga,30,Latossolo,20-40,7.0,52.3,38.9,1.58,30.2,1.15,58.9,99
Monocultivo_Cacau,30,Latossolo,0-20,6.6,39.8,55.2,2.02,23.1,1.28,62.5,30
Monocultivo_Cacau,30,Latossolo,20-40,6.4,33.9,39.8,1.65,19.5,1.39,62.5,30
SAF_Cacau_Eucalipto,22,Neossolo,0-20,6.5,48.9,32.5,1.18,28.5,1.15,42.3,82
SAF_Cacau_Eucalipto,22,Neossolo,20-40,6.3,41.2,23.8,0.98,23.7,1.28,42.3,82
Monocultivo_Cacau,22,Neossolo,0-20,6.1,31.8,38.9,1.42,18.4,1.35,46.8,23
Monocultivo_Cacau,22,Neossolo,20-40,5.9,26.9,28.5,1.15,15.5,1.47,46.8,23
SAF_Cacau_Jacaranda,28,Argissolo,0-20,7.0,58.9,45.8,1.68,32.8,1.05,52.8,97
SAF_Cacau_Jacaranda,28,Argissolo,20-40,6.8,49.2,32.9,1.35,27.3,1.20,52.8,97
Monocultivo_Cacau,28,Argissolo,0-20,6.4,36.9,50.3,1.82,21.4,1.32,56.9,27
Monocultivo_Cacau,28,Argissolo,20-40,6.2,31.5,35.8,1.48,18.1,1.43,56.9,27
